"SSC-A","label"
43002.1015625,"AMP"
128583.703125,"AMP"
72445.8984375,"AMP"
76888.6015625,"AMP"
34572.8984375,"AMP"
90404.1015625,"AMP"
49293.8984375,"AMP"
19086.80078125,"AMP"
133232.296875,"AMP"
111807.796875,"AMP"
86264.296875,"AMP"
132046.296875,"AMP"
82788.1015625,"AMP"
97290.796875,"AMP"
81901.6015625,"AMP"
40892.80078125,"AMP"
71136.203125,"AMP"
81417.703125,"AMP"
72702.703125,"AMP"
115243.5,"AMP"
174598.09375,"AMP"
109703.203125,"AMP"
82221.1015625,"AMP"
38078.1015625,"AMP"
67570.6015625,"AMP"
20355.5,"AMP"
137159.703125,"AMP"
23509.5,"AMP"
119304.6015625,"AMP"
88599.5,"AMP"
189011.09375,"AMP"
132899.203125,"AMP"
131192.796875,"AMP"
70606.703125,"AMP"
104679.8984375,"AMP"
234373.90625,"AMP"
336114.09375,"AMP"
11790.599609375,"AMP"
371898.5,"AMP"
113784.6015625,"AMP"
132923.203125,"AMP"
49555.5,"AMP"
126744.1015625,"AMP"
134450.203125,"AMP"
125479.8984375,"AMP"
124914,"AMP"
116559.5,"AMP"
122184.6015625,"AMP"
121558.203125,"AMP"
99782.203125,"AMP"
83716.8984375,"AMP"
90272.296875,"AMP"
87627.8984375,"AMP"
91504.6015625,"AMP"
109908.6015625,"AMP"
154239.296875,"AMP"
109884.3984375,"AMP"
78591.3984375,"AMP"
58642.80078125,"AMP"
154428.59375,"AMP"
92429.703125,"AMP"
84953.5,"AMP"
101660,"AMP"
58295.19921875,"AMP"
81877.296875,"AMP"
73356.203125,"AMP"
92808.296875,"AMP"
15165.2001953125,"AMP"
99372.6015625,"AMP"
79514.703125,"AMP"
107399.3984375,"AMP"
79960.6015625,"AMP"
138308.40625,"AMP"
10615.099609375,"AMP"
125140.8984375,"AMP"
102821.296875,"AMP"
122126.796875,"AMP"
114093.796875,"AMP"
107148.296875,"AMP"
98961.296875,"AMP"
119241.6015625,"AMP"
81104.296875,"AMP"
97015.1015625,"AMP"
70484.796875,"AMP"
124575.703125,"AMP"
95372.5,"AMP"
156772.90625,"AMP"
94130.796875,"AMP"
101582.8984375,"AMP"
68541.6015625,"AMP"
95620.203125,"AMP"
112104,"AMP"
31579.099609375,"AMP"
100313,"AMP"
70728.5,"AMP"
130251.8984375,"AMP"
81251.703125,"AMP"
121660.796875,"AMP"
97949.703125,"AMP"
86370.6015625,"AMP"
100616.703125,"AMP"
123958.703125,"AMP"
150726.296875,"AMP"
188054.59375,"AMP"
102264.5,"AMP"
58070.6015625,"AMP"
92731.203125,"AMP"
111734.5,"AMP"
133037.90625,"AMP"
17312.19921875,"AMP"
94379.6015625,"AMP"
146095.09375,"AMP"
8726.2001953125,"AMP"
101715.1015625,"AMP"
90103.1015625,"AMP"
60538.6015625,"AMP"
63598.69921875,"AMP"
137927.703125,"AMP"
117878.6015625,"AMP"
96997,"AMP"
102966.3984375,"AMP"
100981.796875,"AMP"
79502.296875,"AMP"
117348.203125,"AMP"
108458.1015625,"AMP"
128938.703125,"AMP"
138055.59375,"AMP"
126187.796875,"AMP"
109305.703125,"AMP"
93302.1015625,"AMP"
139617,"AMP"
77293.6015625,"AMP"
102563.1015625,"AMP"
104258.6015625,"AMP"
170750.40625,"AMP"
74289.203125,"AMP"
99713.8984375,"AMP"
95611.796875,"AMP"
103814.703125,"AMP"
92045.203125,"AMP"
114219.5,"AMP"
117663.1015625,"AMP"
82029.296875,"AMP"
85585.3984375,"AMP"
60770.69921875,"AMP"
66548.5,"AMP"
115659.3984375,"AMP"
133602.296875,"AMP"
114294.3984375,"AMP"
65407.1015625,"AMP"
193070.703125,"AMP"
106353,"AMP"
183394.59375,"AMP"
119091,"AMP"
196161,"AMP"
64759.3984375,"AMP"
10518.7001953125,"AMP"
59079.80078125,"AMP"
228723.703125,"AMP"
136045.59375,"AMP"
90305.203125,"AMP"
89586.703125,"AMP"
123243.796875,"AMP"
35336.6015625,"AMP"
143122.5,"AMP"
189090.703125,"AMP"
115507,"AMP"
13954.400390625,"AMP"
100609.296875,"AMP"
43159.3984375,"AMP"
55993.1015625,"AMP"
106665.203125,"AMP"
114587,"AMP"
15966.099609375,"AMP"
110416,"AMP"
99406.5,"AMP"
65770.3984375,"AMP"
134219.703125,"AMP"
108238.296875,"AMP"
26981.69921875,"AMP"
131787.59375,"AMP"
97645.703125,"AMP"
303524.1875,"AMP"
101669.296875,"AMP"
139834.59375,"AMP"
99928,"AMP"
123402.6015625,"AMP"
135620.203125,"AMP"
87268,"AMP"
124328.8984375,"AMP"
87508.203125,"AMP"
97692.6015625,"AMP"
51888.6015625,"AMP"
95379.203125,"AMP"
120625.6015625,"AMP"
120361.1015625,"AMP"
136815.59375,"AMP"
67699.703125,"AMP"
81999.703125,"AMP"
100616.1015625,"AMP"
99801.5,"AMP"
233866.40625,"AMP"
90640.796875,"AMP"
210003.796875,"AMP"
86434.203125,"AMP"
100572.6015625,"AMP"
153036.203125,"AMP"
79030.1015625,"AMP"
73106.796875,"AMP"
126147.703125,"AMP"
105390.6015625,"AMP"
140962,"AMP"
141136.59375,"AMP"
109594.6015625,"AMP"
109957.6015625,"AMP"
27438.400390625,"AMP"
49206.19921875,"AMP"
92756.3984375,"AMP"
96963.296875,"AMP"
122253.703125,"AMP"
79195.703125,"AMP"
104586.5,"AMP"
176655.59375,"AMP"
126187.296875,"AMP"
101575.8984375,"AMP"
112821.796875,"AMP"
103857.5,"AMP"
10076,"AMP"
37730.69921875,"AMP"
11993.5,"AMP"
55864.30078125,"AMP"
80459.8984375,"AMP"
125590,"AMP"
72018.1015625,"AMP"
102301.3984375,"AMP"
97545.796875,"AMP"
89217.203125,"AMP"
9596.5,"AMP"
51028.8984375,"AMP"
181679.296875,"AMP"
92223.8984375,"AMP"
92422.6015625,"AMP"
54948.19921875,"AMP"
119877,"AMP"
111757.6015625,"AMP"
88797,"AMP"
71924.5,"AMP"
295677.90625,"AMP"
198446.203125,"AMP"
108830.296875,"AMP"
46012.19921875,"AMP"
99884.6015625,"AMP"
111657.203125,"AMP"
138196.703125,"AMP"
69527.796875,"AMP"
10319.099609375,"AMP"
37449,"AMP"
97552.203125,"AMP"
193862.5,"AMP"
67639.3984375,"AMP"
87683.296875,"AMP"
97543.3984375,"AMP"
137046.59375,"AMP"
66238.703125,"AMP"
79815,"AMP"
97389.6015625,"AMP"
113011,"AMP"
125851,"AMP"
107277.3984375,"AMP"
90425.703125,"AMP"
75830.796875,"AMP"
98778.203125,"AMP"
147879.59375,"AMP"
80062.203125,"AMP"
138395.203125,"AMP"
110732.296875,"AMP"
58794.6015625,"AMP"
89103.5,"AMP"
81459.6015625,"AMP"
24375.69921875,"AMP"
235491,"AMP"
36505.3984375,"AMP"
62140.69921875,"AMP"
11704.599609375,"AMP"
40264.6015625,"AMP"
102519.703125,"AMP"
135094.59375,"AMP"
120220.1015625,"AMP"
162859.09375,"AMP"
122946.703125,"AMP"
78340.203125,"AMP"
77639.1015625,"AMP"
18377.5,"AMP"
99508.8984375,"AMP"
88021.796875,"AMP"
71088.796875,"AMP"
165245.203125,"AMP"
82724.6015625,"AMP"
115333.203125,"AMP"
97662.1015625,"AMP"
133554.796875,"AMP"
100540.203125,"AMP"
90244.6015625,"AMP"
134156.5,"AMP"
119314.1015625,"AMP"
121810.6015625,"AMP"
106654.6015625,"AMP"
304543.90625,"AMP"
101010.203125,"AMP"
82856.3984375,"AMP"
17934.80078125,"AMP"
11950.7001953125,"AMP"
95540.203125,"AMP"
128076.5,"AMP"
129835.6015625,"AMP"
108353.796875,"AMP"
96141.8984375,"AMP"
42285.30078125,"AMP"
111295.5,"AMP"
76630.5,"AMP"
127261.203125,"AMP"
136101.5,"AMP"
148294.40625,"AMP"
107292.296875,"AMP"
112169.8984375,"AMP"
74580.6015625,"AMP"
90368.703125,"AMP"
105654,"AMP"
90777.6015625,"AMP"
108414.5,"AMP"
43000.5,"AMP"
118455.8984375,"AMP"
57937.69921875,"AMP"
77581.296875,"AMP"
102921.703125,"AMP"
78703.6015625,"AMP"
116111.703125,"AMP"
67041.203125,"AMP"
113433.796875,"AMP"
66185.1015625,"AMP"
81791,"AMP"
94660.6015625,"AMP"
134092.203125,"AMP"
108990,"AMP"
146661.40625,"AMP"
75993.203125,"AMP"
108776.203125,"AMP"
95537.5,"AMP"
152905.40625,"AMP"
59924.30078125,"AMP"
58951.8984375,"AMP"
85230.6015625,"AMP"
80434.703125,"AMP"
65341.5,"AMP"
121437.6015625,"AMP"
71909.5,"AMP"
94971.5,"AMP"
91534.3984375,"AMP"
75417.703125,"AMP"
60080.30078125,"AMP"
77440.203125,"AMP"
78569.1015625,"AMP"
98429.703125,"AMP"
45397.69921875,"AMP"
132313.296875,"AMP"
81079.6015625,"AMP"
95136,"AMP"
182374.59375,"AMP"
179518.703125,"AMP"
33602,"AMP"
104810.8984375,"AMP"
50710.19921875,"AMP"
9645.099609375,"AMP"
80097.1015625,"AMP"
109794.703125,"AMP"
112455.1015625,"AMP"
99936.1015625,"AMP"
116816.6015625,"AMP"
85080.703125,"AMP"
193948.203125,"AMP"
89534.6015625,"AMP"
82861,"AMP"
74551.3984375,"AMP"
113242.796875,"AMP"
132052.796875,"AMP"
67139.203125,"AMP"
118364.6015625,"AMP"
97218.203125,"AMP"
117118.6015625,"AMP"
76802.796875,"AMP"
94381.203125,"AMP"
83224.1015625,"AMP"
105232.5,"AMP"
66297.1015625,"AMP"
114543.6015625,"AMP"
159811.09375,"AMP"
81905.3984375,"AMP"
106877.703125,"AMP"
38847.3984375,"AMP"
137419.296875,"AMP"
263591.1875,"AMP"
61332.69921875,"AMP"
108458,"AMP"
75112.6015625,"AMP"
125670.296875,"AMP"
97112.8984375,"AMP"
117912.296875,"AMP"
60028,"AMP"
108484,"AMP"
69770.203125,"AMP"
134808.5,"AMP"
105713.796875,"AMP"
144103.40625,"AMP"
71996.5,"AMP"
101751.1015625,"AMP"
133022.203125,"AMP"
73453.5,"AMP"
68336.8984375,"AMP"
113532.296875,"AMP"
80726.8984375,"AMP"
80727.1015625,"AMP"
175695.203125,"AMP"
104132.5,"AMP"
91705.1015625,"AMP"
108559.5,"AMP"
61677,"AMP"
83655.3984375,"AMP"
177118.703125,"AMP"
115575.796875,"AMP"
130043.703125,"AMP"
156274.59375,"AMP"
84639.203125,"AMP"
73058.203125,"AMP"
103903,"AMP"
146758.90625,"AMP"
50902.30078125,"AMP"
139693.40625,"AMP"
104678.6015625,"AMP"
131818.203125,"AMP"
117768.5,"AMP"
57232.1015625,"AMP"
53137,"AMP"
128781.5,"AMP"
99222.8984375,"AMP"
125541.203125,"AMP"
107304.296875,"AMP"
98974.703125,"AMP"
68303.1015625,"AMP"
107959.703125,"AMP"
109870.203125,"AMP"
102279.796875,"AMP"
108755.6015625,"AMP"
51648.5,"AMP"
142932.59375,"AMP"
58114.69921875,"AMP"
147661.5,"AMP"
87801.3984375,"AMP"
162947.203125,"AMP"
121979.1015625,"AMP"
103710.6015625,"AMP"
258552.203125,"AMP"
115394.6015625,"AMP"
86397.6015625,"AMP"
105233.1015625,"AMP"
158460.203125,"AMP"
10188.2001953125,"AMP"
103426.6015625,"AMP"
15193,"AMP"
76025.8984375,"AMP"
120872.296875,"AMP"
120567.296875,"AMP"
70642.203125,"AMP"
71623.6015625,"AMP"
104268.203125,"AMP"
91538.1015625,"AMP"
93078.296875,"AMP"
125323.203125,"AMP"
241256.09375,"AMP"
124442,"AMP"
76341.6015625,"AMP"
154419.59375,"AMP"
81814.1015625,"AMP"
13404.900390625,"AMP"
202570.703125,"AMP"
81445.3984375,"AMP"
101694.296875,"AMP"
68676.703125,"AMP"
106359.203125,"AMP"
26318.5,"AMP"
97778.1015625,"AMP"
122440.796875,"AMP"
139432.90625,"AMP"
204269.796875,"AMP"
126890,"AMP"
155371.5,"AMP"
82982.203125,"AMP"
101998.5,"AMP"
70637.296875,"AMP"
85608.8984375,"AMP"
168340,"AMP"
85737.6015625,"AMP"
289142.40625,"AMP"
141606.296875,"AMP"
102377.1015625,"AMP"
125850.203125,"AMP"
131462.203125,"AMP"
90249.1015625,"AMP"
81167.703125,"AMP"
78214.3984375,"AMP"
26871.69921875,"AMP"
135512.5,"AMP"
94984.8984375,"AMP"
99217.796875,"AMP"
98301.3984375,"AMP"
70477.1015625,"AMP"
81448.703125,"AMP"
12323,"AMP"
128850.1015625,"AMP"
114161.5,"AMP"
119520.5,"AMP"
93582.3984375,"AMP"
95659.703125,"AMP"
99490.296875,"AMP"
106031.203125,"AMP"
67734.6015625,"AMP"
17117.19921875,"AMP"
119969.703125,"AMP"
77129.796875,"AMP"
91010.6015625,"AMP"
113314,"AMP"
97010.6015625,"AMP"
79356.203125,"AMP"
70073,"AMP"
12429.400390625,"AMP"
90060.203125,"AMP"
91201.6015625,"AMP"
110699.1015625,"AMP"
91408.203125,"AMP"
96431.6015625,"AMP"
117289.6015625,"AMP"
14378.599609375,"AMP"
94450.203125,"AMP"
21140.5,"AMP"
45484.3984375,"AMP"
140050.296875,"AMP"
221650.90625,"AMP"
129686.6015625,"AMP"
111029.703125,"AMP"
63993,"AMP"
145161.59375,"AMP"
70386.5,"AMP"
410551.5,"AMP"
110285.3984375,"AMP"
107746.703125,"AMP"
72390.296875,"AMP"
20556.69921875,"AMP"
68238.6015625,"AMP"
96636.203125,"AMP"
152576.703125,"AMP"
154608.296875,"AMP"
106078.6015625,"AMP"
173709.5,"AMP"
100908.6015625,"AMP"
102985.203125,"AMP"
92719.5,"AMP"
122470.3984375,"AMP"
112932.203125,"AMP"
120359.6015625,"AMP"
92422.1015625,"AMP"
132021.703125,"AMP"
122189.6015625,"AMP"
95657.1015625,"AMP"
174393.59375,"AMP"
75652.703125,"AMP"
76761.703125,"AMP"
80534.1015625,"AMP"
79143,"AMP"
119314.3984375,"AMP"
194608.796875,"AMP"
108210.796875,"AMP"
71058.203125,"AMP"
135587.59375,"AMP"
77455.203125,"AMP"
183309.09375,"AMP"
102195.296875,"AMP"
95144.703125,"AMP"
116487.1015625,"AMP"
175693.5,"AMP"
134843.09375,"AMP"
70142.6015625,"AMP"
137235.09375,"AMP"
13403.900390625,"AMP"
105294.203125,"AMP"
71186.3984375,"AMP"
64190.80078125,"AMP"
104812.703125,"AMP"
83479.703125,"AMP"
85096,"AMP"
145398.59375,"AMP"
93107.296875,"AMP"
162096.90625,"AMP"
65678.296875,"AMP"
10279,"AMP"
15572,"AMP"
100221.203125,"AMP"
83157.5,"AMP"
110870.796875,"AMP"
126173.8984375,"AMP"
98670,"AMP"
30064.099609375,"AMP"
100397.8984375,"AMP"
104214.296875,"AMP"
135714.59375,"AMP"
13085.2001953125,"AMP"
20942.19921875,"AMP"
97416.1015625,"AMP"
122479.703125,"AMP"
115681.3984375,"AMP"
303766.8125,"AMP"
141301.796875,"AMP"
100791,"AMP"
90207.296875,"AMP"
83912.3984375,"AMP"
62594.8984375,"AMP"
88154.296875,"AMP"
90163,"AMP"
105120.8984375,"AMP"
127029.8984375,"AMP"
58693.30078125,"AMP"
74207.703125,"AMP"
121883.203125,"AMP"
57978.3984375,"AMP"
73658.203125,"AMP"
103931.5,"AMP"
110547.3984375,"AMP"
60875.80078125,"AMP"
96086.3984375,"AMP"
102991.1015625,"AMP"
106641.203125,"AMP"
96231,"AMP"
94950.1015625,"AMP"
95290.5,"AMP"
54230.5,"AMP"
9158.900390625,"AMP"
112268.203125,"AMP"
9143.7998046875,"AMP"
80592.703125,"AMP"
106142.6015625,"AMP"
113570.703125,"AMP"
96160.203125,"AMP"
18150.30078125,"AMP"
84950.1015625,"AMP"
137540.203125,"AMP"
46377,"AMP"
135843.40625,"AMP"
32475.80078125,"AMP"
74601.3984375,"AMP"
102499.1015625,"AMP"
62257.19921875,"AMP"
460569.5,"AMP"
107813.6015625,"AMP"
90357,"AMP"
46218.5,"AMP"
18043.400390625,"AMP"
127929.703125,"AMP"
135625.296875,"AMP"
80196.203125,"AMP"
121367.6015625,"AMP"
128735.703125,"AMP"
41120.19921875,"AMP"
107670.296875,"AMP"
149134.09375,"AMP"
91193.5,"AMP"
132505.09375,"AMP"
129760.703125,"AMP"
87400,"AMP"
108007.8984375,"AMP"
82018.703125,"AMP"
10821.599609375,"AMP"
184088.59375,"AMP"
241066.703125,"AMP"
10361.599609375,"AMP"
127995.1015625,"AMP"
109819.6015625,"AMP"
126078.703125,"AMP"
10372.7001953125,"AMP"
78143.6015625,"AMP"
60837,"AMP"
132836.40625,"AMP"
94382.296875,"AMP"
130980.796875,"AMP"
121304.703125,"AMP"
68627.6015625,"AMP"
55534.69921875,"AMP"
159020.59375,"AMP"
103395.796875,"AMP"
80065.203125,"AMP"
43321.6015625,"AMP"
25272.5,"AMP"
79855.6015625,"AMP"
72651.1015625,"AMP"
77751.1015625,"AMP"
85636.3984375,"AMP"
98631.203125,"AMP"
94817.3984375,"AMP"
143521.796875,"AMP"
76818.203125,"AMP"
113223.703125,"AMP"
124848.5,"AMP"
74051.1015625,"AMP"
123794.296875,"AMP"
125747.8984375,"AMP"
94471.296875,"AMP"
94336.5,"AMP"
378600.5,"AMP"
89210.203125,"AMP"
114233.5,"AMP"
92361.703125,"AMP"
97738,"AMP"
17982.900390625,"AMP"
137226.796875,"AMP"
80355.8984375,"AMP"
59047.1015625,"AMP"
12908.7001953125,"AMP"
121368,"AMP"
369130.59375,"AMP"
110066.5,"AMP"
16315,"AMP"
83742.8984375,"AMP"
52016.69921875,"AMP"
61729.80078125,"AMP"
108505.203125,"AMP"
88266.6015625,"AMP"
136940.203125,"AMP"
105106.703125,"AMP"
