time,stress,dose,strain,mean,sd
0,AMP,0,MC1061,0.015,0.001154700538
0,AMP,0,MC-SCFP3A,0.014,0.001154700538
0,AMP,0,VIPdeltaRecA,0.01466666667,0.001201850425
0,AMP,0,VIP205,0.01533333333,0.0003333333333
0,AMP,0.25,MC1061,0.01366666667,0.001452966315
0,AMP,0.25,MC-SCFP3A,0.01266666667,0.001452966315
0,AMP,0.25,VIP205,0.015,0
0,AMP,0.5,MC1061,0.014,0.0005773502692
0,AMP,0.5,MC-SCFP3A,0.012,0.001
0,AMP,0.5,VIP205,0.01466666667,0.0003333333333
0,AMP,1,MC1061,0.01366666667,0.001201850425
0,AMP,1,MC-SCFP3A,0.014,0.001154700538
0,AMP,1,VIPdeltaRecA,0.099375,0.005447599406
0,AMP,1,VIP205,0.01433333333,0.0006666666667
0,AMP,1.5,MC1061,0.01666666667,0.001855921454
0,AMP,1.5,MC-SCFP3A,0.01366666667,0.0008819171037
0,AMP,1.5,VIP205,0.01433333333,0.0008819171037
0,AMP,2,MC1061,0.01566666667,0.001452966315
0,AMP,2,MC-SCFP3A,0.01433333333,0.0008819171037
0,AMP,2,VIPdeltaRecA,0.1025,0.01315023085
0,AMP,2,VIP205,0.01366666667,0.0003333333333
0,AMP,2.5,MC1061,0.01666666667,0.001201850425
0,AMP,2.5,MC-SCFP3A,0.01533333333,0.0003333333333
0,AMP,2.5,VIP205,0.01266666667,0.0008819171037
0,AMP,3,VIPdeltaRecA,0.114125,0.01875541588
0,AMP,4,VIPdeltaRecA,0.108625,0.01581018828
0,AMP,5,MC1061,0.01633333333,0.0003333333333
0,AMP,5,MC-SCFP3A,0.014,0.001527525232
0,AMP,5,VIPdeltaRecA,0.09725,0.01217982817
0,AMP,5,VIP205,0.01466666667,0.0003333333333
0,Cd,0,MC1061,0.01433333333,0.0006666666667
0,Cd,0,MC-SCFP3A,0.015,0.001
0,Cd,0,VIPdeltaRecA,0.014,0
0,Cd,0,VIP205,0.01633333333,0.001201850425
0,Cd,0.025,MC1061,0.01366666667,0.0008819171037
0,Cd,0.025,MC-SCFP3A,0.01433333333,0.0003333333333
0,Cd,0.025,VIP205,0.01433333333,0.0003333333333
0,Cd,0.05,MC1061,0.01366666667,0.0003333333333
0,Cd,0.05,MC-SCFP3A,0.01666666667,0.001201850425
0,Cd,0.05,VIPdeltaRecA,0.0785,0.004960558724
0,Cd,0.05,VIP205,0.01433333333,0.0003333333333
0,Cd,0.1,MC1061,0.01566666667,0.0008819171037
0,Cd,0.1,MC-SCFP3A,0.01833333333,0.001452966315
0,Cd,0.1,VIPdeltaRecA,0.09475,0.01040389693
0,Cd,0.1,VIP205,0.016,0
0,Cd,0.15,MC1061,0.01666666667,0.001201850425
0,Cd,0.15,MC-SCFP3A,0.02066666667,0.002333333333
0,Cd,0.15,VIPdeltaRecA,0.085,0.008847921467
0,Cd,0.15,VIP205,0.01633333333,0.0003333333333
0,Cd,0.2,MC1061,0.018,0.0005773502692
0,Cd,0.2,MC-SCFP3A,0.024,0.001
0,Cd,0.2,VIPdeltaRecA,0.110375,0.02126527812
0,Cd,0.2,VIP205,0.01666666667,0.0003333333333
0,Cd,0.25,MC1061,0.01933333333,0.001333333333
0,Cd,0.25,MC-SCFP3A,0.02366666667,0.0006666666667
0,Cd,0.25,VIPdeltaRecA,0.082375,0.004313341015
0,Cd,0.25,VIP205,0.016,0.0005773502692
0,Cd,0.3,VIPdeltaRecA,0.0885,0.003401680257
0,Cd,0.35,VIPdeltaRecA,0.08325,0.003702074708
0,Cd,0.4,VIPdeltaRecA,0.09275,0.00175
0,Cd,0.45,MC1061,0.02333333333,0.00202758751
0,Cd,0.45,MC-SCFP3A,0.02566666667,0.0003333333333
0,Cd,0.45,VIPdeltaRecA,0.0965625,0.003548437156
