time,replicate,stress,dose,units,strain,OD_value
0,rep1,AMP,0,ug/mL,MC1061,0.087
0,rep2,AMP,0,ug/mL,MC1061,0.085
0,rep3,AMP,0,ug/mL,MC1061,0.083
0.3333333333,rep1,AMP,0,ug/mL,MC1061,0.085
0.3333333333,rep2,AMP,0,ug/mL,MC1061,0.083
0.3333333333,rep3,AMP,0,ug/mL,MC1061,0.082
0.6666666667,rep1,AMP,0,ug/mL,MC1061,0.092
0.6666666667,rep2,AMP,0,ug/mL,MC1061,0.089
0.6666666667,rep3,AMP,0,ug/mL,MC1061,0.088
1,rep1,AMP,0,ug/mL,MC1061,0.096
1,rep2,AMP,0,ug/mL,MC1061,0.092
1,rep3,AMP,0,ug/mL,MC1061,0.091
1.333333333,rep1,AMP,0,ug/mL,MC1061,0.112
1.333333333,rep2,AMP,0,ug/mL,MC1061,0.103
1.333333333,rep3,AMP,0,ug/mL,MC1061,0.105
1.666666667,rep1,AMP,0,ug/mL,MC1061,0.154
1.666666667,rep2,AMP,0,ug/mL,MC1061,0.127
1.666666667,rep3,AMP,0,ug/mL,MC1061,0.131
2,rep1,AMP,0,ug/mL,MC1061,0.24
2,rep2,AMP,0,ug/mL,MC1061,0.2
2,rep3,AMP,0,ug/mL,MC1061,0.207
2.333333333,rep1,AMP,0,ug/mL,MC1061,0.334
2.333333333,rep2,AMP,0,ug/mL,MC1061,0.271
2.333333333,rep3,AMP,0,ug/mL,MC1061,0.295
2.666666667,rep1,AMP,0,ug/mL,MC1061,0.474
2.666666667,rep2,AMP,0,ug/mL,MC1061,0.4
2.666666667,rep3,AMP,0,ug/mL,MC1061,0.417
3,rep1,AMP,0,ug/mL,MC1061,0.563
3,rep2,AMP,0,ug/mL,MC1061,0.526
3,rep3,AMP,0,ug/mL,MC1061,0.529
3.333333333,rep1,AMP,0,ug/mL,MC1061,0.615
3.333333333,rep2,AMP,0,ug/mL,MC1061,0.584
3.333333333,rep3,AMP,0,ug/mL,MC1061,0.593
3.666666667,rep1,AMP,0,ug/mL,MC1061,0.622
3.666666667,rep2,AMP,0,ug/mL,MC1061,0.624
3.666666667,rep3,AMP,0,ug/mL,MC1061,0.622
4,rep1,AMP,0,ug/mL,MC1061,0.628
4,rep2,AMP,0,ug/mL,MC1061,0.657
4,rep3,AMP,0,ug/mL,MC1061,0.643
4.333333333,rep1,AMP,0,ug/mL,MC1061,0.653
4.333333333,rep2,AMP,0,ug/mL,MC1061,0.669
4.333333333,rep3,AMP,0,ug/mL,MC1061,0.675
4.666666667,rep1,AMP,0,ug/mL,MC1061,0.471
4.666666667,rep2,AMP,0,ug/mL,MC1061,0.69
4.666666667,rep3,AMP,0,ug/mL,MC1061,0.676
5,rep1,AMP,0,ug/mL,MC1061,0.519
5,rep2,AMP,0,ug/mL,MC1061,0.521
5,rep3,AMP,0,ug/mL,MC1061,0.517
5.333333333,rep1,AMP,0,ug/mL,MC1061,0.566
5.333333333,rep2,AMP,0,ug/mL,MC1061,0.564
5.333333333,rep3,AMP,0,ug/mL,MC1061,0.559
5.666666667,rep1,AMP,0,ug/mL,MC1061,0.568
5.666666667,rep2,AMP,0,ug/mL,MC1061,0.573
5.666666667,rep3,AMP,0,ug/mL,MC1061,0.576
6,rep1,AMP,0,ug/mL,MC1061,0.574
6,rep2,AMP,0,ug/mL,MC1061,0.581
6,rep3,AMP,0,ug/mL,MC1061,0.578
6.333333333,rep1,AMP,0,ug/mL,MC1061,0.575
