propidium_iodide,cell_length,time,state,PI_classification,experiment
-1.542410602,1229.573486,120,VIP205,alive,exp1
-1.127342486,989.4882202,120,VIP205,alive,exp1
-0.3255661142,1065.648315,120,VIP205,alive,exp1
-0.6593140577,1046.640747,120,VIP205,alive,exp1
-0.4868624456,1802.666626,120,VIP205,alive,exp1
-1.278014818,924.979187,120,VIP205,alive,exp1
-0.2835349794,1524.770508,120,VIP205,alive,exp1
-0.8868791373,1288.854004,120,VIP205,alive,exp1
-1.552057037,1101.222168,120,VIP205,alive,exp1
-0.2965492461,1208.17041,120,VIP205,alive,exp1
-0.5702172224,1519.807739,120,VIP205,alive,exp1
-0.7582884549,953.7888184,120,VIP205,alive,exp1
-1.802957487,887.4069214,120,VIP205,alive,exp1
-0.9524916816,1054.141724,120,VIP205,alive,exp1
-0.5702260105,951.6847534,120,VIP205,alive,exp1
0.0631603307,1143.343018,120,VIP205,dead,exp1
-0.8795536159,1023.603577,120,VIP205,alive,exp1
-0.2545728363,1187.622314,120,VIP205,alive,exp1
-1.745330926,2337.356445,120,VIP205,alive,exp1
0.1004212958,1235.911865,120,VIP205,dead,exp1
-0.5092720388,1399.156372,120,VIP205,alive,exp1
-0.3923519392,3576.185547,120,VIP205,alive,exp1
-0.3494995785,976.5549316,120,VIP205,alive,exp1
-1.385106224,2275.260742,120,VIP205,alive,exp1
-0.3349082621,1312.235596,120,VIP205,alive,exp1
-0.1719677476,1696.225586,120,VIP205,alive,exp1
-0.2291438359,1226.06958,120,VIP205,alive,exp1
-0.4417537248,1006.023376,120,VIP205,alive,exp1
0.4647496549,1390.530396,120,VIP205,dead,exp1
-0.5370946978,1666.965454,120,VIP205,alive,exp1
-1.532735468,4987.112305,120,VIP205,alive,exp1
-1.318191622,1041.305908,120,VIP205,alive,exp1
-0.5138680208,925.4450073,120,VIP205,alive,exp1
-0.9038475856,1182.525024,120,VIP205,alive,exp1
-0.4041577241,1028.697754,120,VIP205,alive,exp1
-0.2436392071,975.6971436,120,VIP205,alive,exp1
-0.2611577318,1112.166748,120,VIP205,alive,exp1
-0.007592812374,1087.550537,120,VIP205,alive,exp1
-0.3230082441,1232.177002,120,VIP205,alive,exp1
-1.421627532,1133.070435,120,VIP205,alive,exp1
-1.541822253,1783.592896,120,VIP205,alive,exp1
-0.7204312859,2228.087891,120,VIP205,alive,exp1
-0.4145815482,1779.373291,120,VIP205,alive,exp1
-0.7642643034,920.2526245,120,VIP205,alive,exp1
-1.609631556,1039.078491,120,VIP205,alive,exp1
-0.581302589,891.5528564,120,VIP205,alive,exp1
-0.8127129066,1025.480103,120,VIP205,alive,exp1
-0.3451287949,1439.542603,120,VIP205,alive,exp1
-0.1198917947,1294.740723,120,VIP205,alive,exp1
-0.3137142519,934.5275879,120,VIP205,alive,exp1
-0.4069925217,1014.479675,120,VIP205,alive,exp1
-0.1999137163,964.8481445,120,VIP205,alive,exp1
-1.746689431,1165.36377,120,VIP205,alive,exp1
-1.324287453,1938.690308,120,VIP205,alive,exp1
0.2670789391,1321.051392,120,VIP205,dead,exp1
-0.6655548216,1807.137451,120,VIP205,alive,exp1
-0.05937847814,989.1288452,120,VIP205,alive,exp1
-1.225404431,902.2568359,120,VIP205,alive,exp1
-0.3431592752,998.4702759,120,VIP205,alive,exp1
0.4628436438,2380.662109,120,VIP205,dead,exp1
-0.02750596597,2174.70874,120,VIP205,alive,exp1
-0.5007126735,1972.035889,120,VIP205,alive,exp1
-1.348905176,3055.03833,120,VIP205,alive,exp1
-0.4257939369,1554.374268,120,VIP205,alive,exp1
-1.322365222,1952.942017,120,VIP205,alive,exp1
-1.602280108,5471.892578,120,VIP205,alive,exp1
-1.045091861,1067.884277,120,VIP205,alive,exp1
-1.132306358,986.4197388,120,VIP205,alive,exp1
-0.6135500068,913.4829102,120,VIP205,alive,exp1
-0.4862172181,1036.153809,120,VIP205,alive,exp1
-0.1148368056,1264.484009,120,VIP205,alive,exp1
-0.413150537,1495.547729,120,VIP205,alive,exp1
-0.6865925609,1687.523438,120,VIP205,alive,exp1
-0.9098615788,972.2498779,120,VIP205,alive,exp1
-0.4354712515,1377.372803,120,VIP205,alive,exp1
-0.3189061318,1421.690674,120,VIP205,alive,exp1
-0.5702587053,1089.782227,120,VIP205,alive,exp1
-0.03784767574,992.7958374,120,VIP205,alive,exp1
-0.4323231888,1567.255249,120,VIP205,alive,exp1
-0.1966935423,1218.060791,120,VIP205,alive,exp1
-0.3976785148,2020.11084,120,VIP205,alive,exp1
-1.461124054,6704.302734,120,VIP205,alive,exp1
-0.02009764183,977.2283325,120,VIP205,alive,exp1
-0.08346805141,2939.759277,120,VIP205,alive,exp1
-1.069023093,1016.828003,120,VIP205,alive,exp1
-1.546225712,1187.836792,120,VIP205,alive,exp1
-1.222883271,3339.879639,120,VIP205,alive,exp1
-0.1620254392,1052.112183,120,VIP205,alive,exp1
-1.011443797,2295.856445,120,VIP205,alive,exp1
-0.8296129357,1671.416138,120,VIP205,alive,exp1
-0.5078941271,1416.895874,120,VIP205,alive,exp1
-0.7290875198,1569.884399,120,VIP205,alive,exp1
-0.6399760813,1811.353638,120,VIP205,alive,exp1
-1.864372191,1046.425293,120,VIP205,alive,exp1
-1.612674095,872.2595215,120,VIP205,alive,exp1
0.05739745685,1783.202515,120,VIP205,dead,exp1
-0.8689201612,1130.633789,120,VIP205,alive,exp1
-0.05723742404,1264.499512,120,VIP205,alive,exp1
-0.08605396724,1758.140503,120,VIP205,alive,exp1
-1.268681696,5638.612305,120,VIP205,alive,exp1
-1.180496936,3424.45874,120,VIP205,alive,exp1
-0.5033019369,976.8009644,120,VIP205,alive,exp1
-0.7312608019,1465.393433,120,VIP205,alive,exp1
-0.8248645806,1483.367798,120,VIP205,alive,exp1
0.02277630799,1838.94873,120,VIP205,dead,exp1
-1.779707557,2417.467529,120,VIP205,alive,exp1
-0.5263526421,1062.931763,120,VIP205,alive,exp1
-0.2955665412,1005.767456,120,VIP205,alive,exp1
-0.7056085273,1061.497437,120,VIP205,alive,exp1
-0.3993463196,870.0753784,120,VIP205,alive,exp1
0.4339259367,1657.8927,120,VIP205,dead,exp1
0.4567635105,1938.474609,120,VIP205,dead,exp1
-0.2317946372,1809.15271,120,VIP205,alive,exp1
-1.108017169,1024.481567,120,VIP205,alive,exp1
-0.8613800392,970.9268188,120,VIP205,alive,exp1
-1.320885006,2482.101563,120,VIP205,alive,exp1
-1.273906991,991.0897217,120,VIP205,alive,exp1
-0.3006950922,935.2105713,120,VIP205,alive,exp1
-0.9245044867,1036.853882,120,VIP205,alive,exp1
-0.3015046726,967.9093628,120,VIP205,alive,exp1
-0.8050444291,1705.537964,120,VIP205,alive,exp1
-0.7962239034,1110.566528,120,VIP205,alive,exp1
-0.5168443348,2088.682373,120,VIP205,alive,exp1
-1.380303689,908.281311,120,VIP205,alive,exp1
-0.2096613563,1095.391846,120,VIP205,alive,exp1
5.01E-04,1173.030396,120,VIP205,dead,exp1
-0.4170530637,1526.49585,120,VIP205,alive,exp1
-1.268737248,982.8711548,120,VIP205,alive,exp1
-0.7901530176,1135.940063,120,VIP205,alive,exp1
-1.204552048,956.5671997,120,VIP205,alive,exp1
-0.8991078818,1046.472656,120,VIP205,alive,exp1
-1.864989864,2355.536133,120,VIP205,alive,exp1
-0.564664192,1330.053589,120,VIP205,alive,exp1
0.02707022363,1440.451294,120,VIP205,dead,exp1
-0.01611596329,1526.933594,120,VIP205,alive,exp1
-0.5341244678,1105.710693,120,VIP205,alive,exp1
-0.4363155117,2241.534668,120,VIP205,alive,exp1
-0.1334596792,1201.044434,120,VIP205,alive,exp1
