Index,Experiment,Replicate,Position,Trap,CellType,Status
1,vip_Amp,EXP1,xy28,trap1,CFP,Killed
2,vip_Amp,EXP1,xy08,trap5,VIP,Killed
3,vip_Amp,EXP1,xy18,trap1,CFP,Killed
4,vip_Amp,EXP1,xy01,trap1,VIP,Alive
5,vip_Amp,EXP1,xy18,trap2,VIP,Alive
6,vip_Amp,EXP1,xy28,trap3,CFP,Killed
7,vip_Amp,EXP1,xy19,trap3,VIP,Alive
8,vip_Amp,EXP1,xy42,trap1,CFP,Killed
9,vip_Amp,EXP1,xy12,trap5,CFP,Killed
10,vip_Amp,EXP1,xy31,trap1,CFP,Killed
11,vip_Amp,EXP1,xy04,trap2,CFP,Killed
12,vip_Amp,EXP1,xy17,trap7,CFP,Killed
13,vip_Amp,EXP1,xy41,trap4,CFP,Killed
14,vip_Amp,EXP1,xy03,trap2,CFP,Killed
15,vip_Amp,EXP1,xy26,trap1,CFP,Killed
16,vip_Amp,EXP1,xy18,trap4,CFP,Killed
17,vip_Amp,EXP1,xy30,trap1,CFP,Killed
18,vip_Amp,EXP1,xy14,trap7,CFP,Killed
19,vip_Amp,EXP1,xy25,trap3,CFP,Killed
20,vip_Amp,EXP1,xy10,trap2,CFP,Killed
21,vip_Amp,EXP1,xy12,trap2,CFP,Killed
22,vip_Amp,EXP1,xy43,trap2,CFP,Killed
23,vip_Amp,EXP1,xy15,trap1,CFP,Killed
24,vip_Amp,EXP1,xy17,trap5,VIP,Alive
25,vip_Amp,EXP1,xy14,trap1,VIP,Alive
26,vip_Amp,EXP1,xy08,trap7,VIP,Alive
27,vip_Amp,EXP1,xy17,trap6,VIP,Alive
28,vip_Amp,EXP1,xy14,trap6,CFP,Killed
29,vip_Amp,EXP1,xy15,trap8,CFP,Killed
30,vip_Amp,EXP1,xy17,trap1,VIP,Alive
31,vip_Amp,EXP1,xy17,trap8,CFP,Killed
32,vip_Amp,EXP1,xy19,trap2,CFP,Killed
33,vip_Amp,EXP1,xy03,trap5,VIP,Killed
34,vip_Amp,EXP1,xy10,trap1,VIP,Alive
35,vip_Amp,EXP1,xy25,trap2,CFP,Killed
36,vip_Amp,EXP1,xy25,trap1,VIP,Killed
37,vip_Amp,EXP1,xy15,trap6,CFP,Killed
38,vip_Amp,EXP1,xy07,trap3,VIP,Killed
39,vip_Amp,EXP1,xy05,trap1,CFP,Killed
40,vip_Amp,EXP1,xy22,trap2,CFP,Killed
41,vip_Amp,EXP1,xy15,trap4,CFP,Killed
42,vip_Amp,EXP1,xy43,trap1,CFP,Killed
43,vip_Amp,EXP1,xy31,trap4,CFP,Killed
44,vip_Amp,EXP1,xy27,trap1,CFP,Killed
45,vip_Amp,EXP1,xy18,trap5,CFP,Killed
46,vip_Amp,EXP1,xy12,trap4,CFP,Killed
47,vip_Amp,EXP1,xy15,trap5,CFP,Killed
48,vip_Amp,EXP1,xy08,trap6,VIP,Killed
49,vip_Amp,EXP1,xy01,trap2,VIP,Alive
50,vip_Amp,EXP1,xy30,trap2,CFP,Killed
51,vip_Amp,EXP1,xy15,trap2,VIP,Alive
52,vip_Amp,EXP1,xy09,trap1,VIP,Killed
53,vip_Amp,EXP1,xy03,trap4,VIP,Killed
54,vip_Amp,EXP1,xy10,trap3,CFP,Killed
55,vip_Amp,EXP1,xy12,trap1,CFP,Killed
56,vip_Amp,EXP1,xy43,trap3,CFP,Killed
57,vip_Amp,EXP1,xy15,trap7,CFP,Killed
58,vip_Amp,EXP1,xy03,trap1,CFP,Killed
59,vip_Amp,EXP1,xy08,trap3,CFP,Killed
60,vip_Amp,EXP1,xy08,trap2,CFP,Killed
61,vip_Amp,EXP1,xy37,trap2,CFP,Killed
62,vip_Amp,EXP1,xy17,trap3,VIP,Killed
63,vip_Amp,EXP1,xy19,trap1,CFP,Killed
64,vip_Amp,EXP1,xy23,trap1,CFP,Killed
65,vip_Amp,EXP1,xy11,trap1,VIP,Killed
66,vip_Amp,EXP1,xy14,trap2,CFP,Killed
67,vip_Amp,EXP1,xy17,trap2,CFP,Killed
68,vip_Amp,EXP1,xy22,trap1,CFP,Killed
69,vip_Amp,EXP1,xy12,trap3,VIP,Alive
70,vip_Amp,EXP1,xy07,trap2,VIP,Alive
71,vip_Amp,EXP1,xy14,trap5,VIP,Alive
72,vip_Amp,EXP1,xy28,trap2,CFP,Killed
73,vip_Amp,EXP1,xy15,trap3,VIP,Alive
74,vip_Amp,EXP1,xy40,trap1,CFP,Killed
75,vip_Amp,EXP1,xy16,trap2,CFP,Killed
76,vip_Amp,EXP1,xy30,trap3,CFP,Killed
77,vip_Amp,EXP1,xy36,trap2,VIP,Killed
78,vip_Amp,EXP1,xy18,trap6,CFP,Killed
79,vip_Amp,EXP1,xy34,trap1,CFP,Killed
80,vip_Amp,EXP1,xy04,trap3,VIP,Killed
81,vip_Amp,EXP1,xy11,trap3,CFP,Killed
82,vip_Amp,EXP1,xy08,trap4,VIP,Alive
83,vip_Amp,EXP1,xy18,trap3,CFP,Killed
84,vip_Amp,EXP1,xy17,trap4,CFP,Killed
85,vip_Amp,EXP1,xy04,trap1,CFP,Killed
86,vip_Amp,EXP1,xy08,trap9,CFP,Killed
87,vip_Amp,EXP1,xy37,trap1,CFP,Killed
88,vip_Amp,EXP1,xy05,trap2,CFP,Killed
89,vip_Amp,EXP1,xy11,trap2,VIP,Alive
90,vip_Amp,EXP1,xy31,trap2,CFP,Killed
91,vip_Amp,EXP1,xy33,trap1,CFP,Killed
92,vip_Amp,EXP1,xy07,trap1,VIP,Alive
93,vip_Amp,EXP1,xy41,trap3,CFP,Killed
94,vip_Amp,EXP1,xy14,trap4,CFP,Killed
95,vip_Amp,EXP1,xy11,trap4,VIP,Alive
96,vip_Amp,EXP2,xy24,trap8,VIP,Alive
97,vip_Amp,EXP2,xy19,trap2,VIP,Alive
98,vip_Amp,EXP2,xy10,trap4,VIP,Killed
99,vip_Amp,EXP1,xy26,trap2,CFP,Killed
100,vip_Amp,EXP2,xy23,trap5,VIP,Killed
101,vip_Amp,EXP2,xy04,trap4,VIP,Alive
102,vip_Amp,EXP1,xy36,trap1,CFP,Killed
103,vip_Amp,EXP2,xy20,trap1,VIP,Alive
104,vip_Amp,EXP2,xy17,trap1,VIP,Alive
105,vip_Amp,EXP2,xy24,trap5,VIP,Killed
106,vip_Amp,EXP2,xy03,trap3,VIP,Alive
107,vip_Amp,EXP2,xy04,trap3,VIP,Alive
108,vip_Amp,EXP1,xy44,trap1,CFP,Killed
109,vip_Amp,EXP2,xy11,trap3,CFP,Alive
110,vip_Amp,EXP2,xy02,trap1,VIP,Alive
111,vip_Amp,EXP2,xy20,trap3,VIP,Alive
112,vip_Amp,EXP2,xy14,trap5,CFP,Alive
113,vip_Amp,EXP2,xy13,trap1,VIP,Alive
114,vip_Amp,EXP2,xy44,trap1,CFP,Killed
115,vip_Amp,EXP1,xy03,trap3,CFP,Killed
116,vip_Amp,EXP2,xy10,trap6,VIP,Killed
117,vip_Amp,EXP2,xy21,trap3,VIP,Alive
118,vip_Amp,EXP2,xy23,trap2,VIP,Alive
119,vip_Amp,EXP2,xy09,trap1,VIP,Killed
120,vip_Amp,EXP2,xy12,trap7,VIP,Alive
121,vip_Amp,EXP2,xy44,trap2,CFP,Killed
122,vip_Amp,EXP1,xy01,trap3,CFP,Killed
123,vip_Amp,EXP2,xy11,trap2,VIP,Killed
124,vip_Amp,EXP2,xy21,trap4,VIP,Alive
125,vip_Amp,EXP2,xy25,trap6,VIP,Killed
126,vip_Amp,EXP2,xy21,trap4,VIP,Alive
127,vip_Amp,EXP2,xy13,trap4,VIP,Alive
128,vip_Amp,EXP2,xy37,trap2,VIP,Killed
129,vip_Amp,EXP2,xy26,trap4,VIP,Alive
130,vip_Amp,EXP2,xy36,trap1,VIP,Killed
131,vip_Amp,EXP2,xy25,trap1,VIP,Alive
132,vip_Amp,EXP1,xy14,trap3,CFP,Killed
133,vip_Amp,EXP2,xy26,trap1,VIP,Alive
134,vip_Amp,EXP2,xy14,trap7,VIP,Alive
135,vip_Amp,EXP2,xy06,trap4,VIP,Alive
136,vip_Amp,EXP2,xy12,trap1,VIP,Killed
137,vip_Amp,EXP1,xy08,trap1,CFP,Killed
138,vip_Amp,EXP2,xy22,trap2,VIP,Alive
139,vip_Amp,EXP2,xy12,trap3,VIP,Killed
140,vip_Amp,EXP2,xy12,trap8,VIP,Killed
141,vip_Amp,EXP2,xy02,trap3,VIP,Alive
142,vip_Amp,EXP2,xy15,trap5,VIP,Alive
143,vip_Amp,EXP2,xy03,trap1,VIP,Alive
144,vip_Amp,EXP2,xy22,trap8,VIP,Alive
145,vip_Amp,EXP2,xy10,trap2,VIP,Alive
146,vip_Amp,EXP2,xy29,trap1,CFP,Alive
147,vip_Amp,EXP2,xy21,trap2,VIP,Alive
148,vip_Amp,EXP2,xy21,trap7,VIP,Killed
149,vip_Amp,EXP2,xy06,trap1,VIP,Killed
150,vip_Amp,EXP2,xy24,trap7,VIP,Killed
151,vip_Amp,EXP2,xy23,trap7,VIP,Killed
152,vip_Amp,EXP2,xy28,trap1,VIP,Killed
153,vip_Amp,EXP2,xy04,trap2,VIP,Alive
154,vip_Amp,EXP2,xy13,trap3,VIP,Alive
155,vip_Amp,EXP2,xy12,trap6,VIP,Killed
156,vip_Amp,EXP2,xy24,trap2,VIP,Killed
157,vip_Amp,EXP2,xy23,trap6,VIP,Alive
158,vip_Amp,EXP2,xy18,trap3,VIP,Killed
159,vip_Amp,EXP2,xy27,trap1,VIP,Alive
160,vip_Amp,EXP2,xy32,trap1,CFP,Killed
161,vip_Amp,EXP1,xy08,trap8,CFP,Killed
162,vip_Amp,EXP2,xy19,trap1,VIP,Killed
163,vip_Amp,EXP2,xy19,trap4,VIP,Alive
164,vip_Amp,EXP2,xy25,trap4,CFP,Alive
165,vip_Amp,EXP2,xy12,trap2,VIP,Alive
