Index,Experiment,Replicate,Position,Trap,CellType
1,VIP_Cd,EXP1,xy01,trap1,CFP
2,VIP_Cd,EXP1,xy01,trap2,VIP
3,VIP_Cd,EXP1,xy02,trap1,CFP
4,VIP_Cd,EXP1,xy02,trap2,VIP
5,VIP_Cd,EXP1,xy02,trap3,CFP
6,VIP_Cd,EXP1,xy02,trap4,CFP
7,VIP_Cd,EXP1,xy02,trap5,CFP
8,VIP_Cd,EXP1,xy02,trap6,CFP
9,VIP_Cd,EXP1,xy02,trap7,CFP
10,VIP_Cd,EXP1,xy02,trap8,VIP
11,VIP_Cd,EXP1,xy03,trap1,VIP
12,VIP_Cd,EXP1,xy03,trap2,VIP
13,VIP_Cd,EXP1,xy03,trap3,VIP
14,VIP_Cd,EXP1,xy03,trap4,VIP
15,VIP_Cd,EXP1,xy04,trap1,CFP
16,VIP_Cd,EXP1,xy04,trap2,VIP
17,VIP_Cd,EXP1,xy04,trap3,VIP
18,VIP_Cd,EXP1,xy04,trap4,VIP
19,VIP_Cd,EXP1,xy04,trap5,VIP
20,VIP_Cd,EXP1,xy05,trap1,CFP
21,VIP_Cd,EXP1,xy05,trap2,VIP
22,VIP_Cd,EXP1,xy05,trap3,VIP
23,VIP_Cd,EXP1,xy05,trap4,VIP
24,VIP_Cd,EXP1,xy05,trap5,CFP
25,VIP_Cd,EXP1,xy05,trap6,CFP
26,VIP_Cd,EXP1,xy05,trap7,CFP
27,VIP_Cd,EXP1,xy06,trap1,CFP
28,VIP_Cd,EXP1,xy06,trap2,CFP
29,VIP_Cd,EXP1,xy06,trap3,VIP
30,VIP_Cd,EXP1,xy06,trap4,VIP
31,VIP_Cd,EXP1,xy06,trap5,CFP
32,VIP_Cd,EXP1,xy07,trap1,CFP
33,VIP_Cd,EXP1,xy07,trap2,CFP
34,VIP_Cd,EXP1,xy07,trap3,VIP
35,VIP_Cd,EXP1,xy07,trap4,VIP
36,VIP_Cd,EXP1,xy08,trap1,VIP
37,VIP_Cd,EXP1,xy08,trap2,CFP
38,VIP_Cd,EXP1,xy08,trap3,CFP
39,VIP_Cd,EXP1,xy08,trap4,CFP
40,VIP_Cd,EXP1,xy08,trap5,CFP
41,VIP_Cd,EXP1,xy09,trap1,VIP
42,VIP_Cd,EXP1,xy09,trap2,VIP
43,VIP_Cd,EXP1,xy10,trap1,VIP
44,VIP_Cd,EXP1,xy12,trap1,VIP
45,VIP_Cd,EXP1,xy12,trap2,VIP
46,VIP_Cd,EXP1,xy12,trap3,CFP
47,VIP_Cd,EXP1,xy13,trap1,VIP
48,VIP_Cd,EXP1,xy13,trap2,CFP
49,VIP_Cd,EXP1,xy14,trap1,VIP
50,VIP_Cd,EXP1,xy14,trap2,VIP
51,VIP_Cd,EXP1,xy14,trap3,VIP
52,VIP_Cd,EXP1,xy15,trap1,VIP
53,VIP_Cd,EXP1,xy15,trap2,VIP
54,VIP_Cd,EXP1,xy15,trap3,VIP
55,VIP_Cd,EXP1,xy16,trap1,VIP
56,VIP_Cd,EXP1,xy16,trap2,VIP
57,VIP_Cd,EXP1,xy16,trap3,VIP
58,VIP_Cd,EXP1,xy17,trap1,VIP
59,VIP_Cd,EXP1,xy17,trap2,CFP
60,VIP_Cd,EXP1,xy18,trap1,CFP
61,VIP_Cd,EXP1,xy18,trap2,VIP
62,VIP_Cd,EXP1,xy18,trap3,VIP
63,VIP_Cd,EXP2,xy01,trap1,VIP
64,VIP_Cd,EXP2,xy01,trap2,CFP
65,VIP_Cd,EXP2,xy01,trap3,VIP
66,VIP_Cd,EXP2,xy01,trap4,CFP
67,VIP_Cd,EXP2,xy01,trap5,VIP
68,VIP_Cd,EXP2,xy01,trap6,CFP
69,VIP_Cd,EXP2,xy01,trap7,VIP
70,VIP_Cd,EXP2,xy01,trap8,CFP
71,VIP_Cd,EXP2,xy01,trap9,VIP
72,VIP_Cd,EXP2,xy01,trap10,VIP
73,VIP_Cd,EXP2,xy02,trap1,VIP
74,VIP_Cd,EXP2,xy02,trap2,VIP
75,VIP_Cd,EXP2,xy02,trap3,CFP
76,VIP_Cd,EXP2,xy02,trap4,VIP
77,VIP_Cd,EXP2,xy02,trap5,VIP
78,VIP_Cd,EXP2,xy02,trap6,VIP
79,VIP_Cd,EXP2,xy02,trap7,CFP
80,VIP_Cd,EXP2,xy02,trap8,CFP
81,VIP_Cd,EXP2,xy02,trap9,CFP
82,VIP_Cd,EXP2,xy02,trap10,CFP
83,VIP_Cd,EXP2,xy02,trap11,VIP
84,VIP_Cd,EXP2,xy02,trap12,CFP
85,VIP_Cd,EXP2,xy02,trap13,CFP
86,VIP_Cd,EXP2,xy03,trap1,VIP
87,VIP_Cd,EXP2,xy03,trap2,VIP
88,VIP_Cd,EXP2,xy03,trap3,CFP
89,VIP_Cd,EXP2,xy03,trap4,CFP
90,VIP_Cd,EXP2,xy03,trap5,VIP
91,VIP_Cd,EXP2,xy03,trap6,VIP
92,VIP_Cd,EXP2,xy03,trap7,VIP
93,VIP_Cd,EXP2,xy03,trap8,CFP
94,VIP_Cd,EXP2,xy03,trap9,VIP
95,VIP_Cd,EXP2,xy03,trap10,VIP
96,VIP_Cd,EXP2,xy03,trap11,VIP
97,VIP_Cd,EXP2,xy03,trap12,CFP
98,VIP_Cd,EXP2,xy03,trap13,CFP
99,VIP_Cd,EXP2,xy04,trap1,VIP
100,VIP_Cd,EXP2,xy04,trap2,VIP
101,VIP_Cd,EXP2,xy04,trap3,CFP
102,VIP_Cd,EXP2,xy04,trap4,VIP
103,VIP_Cd,EXP2,xy04,trap5,CFP
104,VIP_Cd,EXP2,xy04,trap6,VIP
105,VIP_Cd,EXP2,xy04,trap7,VIP
106,VIP_Cd,EXP2,xy04,trap8,CFP
107,VIP_Cd,EXP2,xy04,trap9,VIP
108,VIP_Cd,EXP2,xy04,trap10,VIP
109,VIP_Cd,EXP2,xy04,trap11,VIP
110,VIP_Cd,EXP2,xy04,trap12,VIP
111,VIP_Cd,EXP2,xy04,trap13,VIP
112,VIP_Cd,EXP2,xy04,trap14,CFP
113,VIP_Cd,EXP2,xy05,trap1,VIP
114,VIP_Cd,EXP2,xy05,trap2,CFP
115,VIP_Cd,EXP2,xy05,trap3,VIP
116,VIP_Cd,EXP2,xy05,trap4,VIP
117,VIP_Cd,EXP2,xy05,trap5,CFP
118,VIP_Cd,EXP2,xy05,trap6,VIP
119,VIP_Cd,EXP2,xy05,trap7,VIP
120,VIP_Cd,EXP2,xy05,trap8,VIP
121,VIP_Cd,EXP2,xy05,trap9,CFP
122,VIP_Cd,EXP2,xy05,trap10,VIP
123,VIP_Cd,EXP2,xy05,trap11,VIP
124,VIP_Cd,EXP2,xy05,trap12,CFP
125,VIP_Cd,EXP2,xy05,trap13,VIP
126,VIP_Cd,EXP2,xy05,trap14,CFP
127,VIP_Cd,EXP2,xy06,trap1,VIP
128,VIP_Cd,EXP2,xy06,trap2,VIP
129,VIP_Cd,EXP2,xy06,trap3,VIP
130,VIP_Cd,EXP2,xy06,trap4,CFP
131,VIP_Cd,EXP2,xy06,trap5,VIP
132,VIP_Cd,EXP2,xy06,trap6,CFP
133,VIP_Cd,EXP2,xy06,trap7,VIP
134,VIP_Cd,EXP2,xy06,trap8,VIP
135,VIP_Cd,EXP2,xy06,trap9,CFP
136,VIP_Cd,EXP2,xy06,trap10,VIP
137,VIP_Cd,EXP2,xy06,trap11,VIP
138,VIP_Cd,EXP2,xy06,trap12,VIP
139,VIP_Cd,EXP2,xy07,trap1,VIP
140,VIP_Cd,EXP2,xy07,trap2,VIP
141,VIP_Cd,EXP2,xy07,trap3,CFP
142,VIP_Cd,EXP2,xy07,trap4,VIP
143,VIP_Cd,EXP2,xy07,trap5,CFP
